,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
49,1202281202334859649737464243089883719203118393624,2,1,1,0.0,0.00813063795552969,moisture <= 88.03
50,585831330631376020196651220005217173751910922427,3,1,2,0.003126843657817109,0.0018068084345621532,moisture > 88.03
51,1110286006501510599660955608137587775701142963526,3,1,2,0.02135693215339233,1.310931682929713,pH <= 5.14
52,1343515086664158599009117579743337965292112566537,2,1,1,9.832841691248771e-05,0.0004517021086405383,Brix <= 9.68
53,782674491907339821905242295837302284454880144691,3,1,2,0.02261553588987217,1.2887322886564359,Brix > 9.68
54,1113779388840611510372127596828511344205954348770,3,1,2,0.0030285152409046216,0.0036136168691243064,Brix <= 11.07
55,1321823324268434578341877527271903385845936619321,2,1,1,3.9331366764995083e-05,0.0013551063259216148,pH <= 5.36
56,185223566590935545347045369920413506073103251168,2,1,1,3.9331366764995083e-05,0.0004517021086405383,pH > 5.36
57,1115553694368208956972528467008670413289210180059,2,1,1,1.9665683382497542e-05,0.0022585105432026916,pH > 4.09
58,1131648872527188645017649934457144056207019767356,2,1,1,1.9665683382497542e-05,0.0004517021086405383,Brix > 12.0
59,114288386783329094858692510758135355427541248708,2,1,1,9.832841691248771e-06,0.004968723195045922,pH <= 5.16
60,1149998277852801788316901209141149759511765893741,2,1,1,7.866273352999017e-05,0.0004517021086405383,moisture > 84.18
61,117019745706298747085662111636172380469599575690,2,1,1,1.9665683382497542e-05,0.0004517021086405383,moisture > 89.81
62,1185884278337992742856356075127001292993529548115,2,1,1,0.0,0.004968723195045922,Pheno > 0.68
63,1208199532003260704580883667179978148803167350089,6,2,4,0.03516224188790561,2.3438467508557883,moisture > 84.12
64,1294092558534500641731851223402440377639362886552,6,2,4,0.043618485742379545,2.434184826079435,Pheno <= 0.77
65,1346673667641844161734751361815534013472078259808,3,1,2,0.014355948869223206,2.0478612365537314,pH > 4.88
66,1381877576296208000589113195431761217086740083800,2,1,1,0.0,0.007678935846889151,pH <= 4.88
67,837370564306014830643982857390690332587885059971,6,2,4,0.013372664700098328,1.9388425854208717,Pheno > 0.77
